Surveynam1,Surveynam2,Quarter,Country,Sea,LFI_threshold,Gear,Species,hhfilename,hlfilename,strata,SAMP_STRAT,BYSUBDIV,First_year,Last_year,Std_gear,Std_gear_subscripts,MinTrawlDuration,MaxTrawlDuration
BBICsSpaOT1,SP-ARSA,1,ES,BBIC,50,GOV,DEM,HH-SP-ARSA.csv,HL-SP-ARSA.csv,Sp_Cadiz.WGS84.shp,FALSE,TRUE,1996,2020,BAK,,13,66
BBICPorOT4,PT-IBTS,4,PT,BBIC,40,GOV,DEM,HH-PT-IBTS.csv,HL-PT-IBTS.csv,Contour3strata_sector.shp,FALSE,TRUE,2002,2020,NCT,,13,66
BBICsSpaOT4,SP-ARSA,4,ES,BBIC,45,GOV,DEM,HH-SP-ARSA.csv,HL-SP-ARSA.csv,Sp_Cadiz.WGS84.shp,FALSE,TRUE,2002,2020,BAK,,13,66
BBICFraBT4,BTS-VIII,4,FR,BBIC,40,BEAM,DEM,HH-BTS-VIII.csv,HL-BTS-VIII.csv,EVHOE.WGS84.shp,FALSE,TRUE,2011,2020,BT4A,,13,66
BBICnSpaOT4,SP-NORTH,4,ES,BBIC,25,GOV,DEM,HH-SP-NORTH.csv,HL-SP-NORTH.csv,Sp_North.WGS84.shp,FALSE,TRUE,2011,2020,BAK,,13,66
CSEngBT3,BTS,3,GB,CS,35,BEAM,DEM,HH-BTS.csv,HL-BTS.csv,NI_IBTS.WGS84.shp,FALSE,TRUE,1993,2020,BT4,"A, AI, P, S",13,66
CSEngBT3_Bchannel,BTS,3,GB,CS,35,BEAM,DEM,HH-BTS.csv,HL-BTS.csv,BChanBT3.shp,FALSE,TRUE,1993,2020,BT4,"A, AI, P, S",13,66
CSBBFraOT4,EVHOE,4,FR,CS,40,GOV,DEM,HH-EVHOE.csv,HL-EVHOE.csv,EVHOE.WGS84.shp,FALSE,TRUE,1997,2020,GOV,,13,66
CSFraOT4,EVHOE,4,FR,CS,40,GOV,DEM,HH-EVHOE.csv,HL-EVHOE.csv,EVHOE.WGS84.shp,FALSE,TRUE,1997,2020,GOV,,13,66
CSIreOT4,IE-IGFS,4,IE,CS,30,GOV,DEM,HH-IE-IGFS.csv,HL-IE-IGFS.csv,IGFS.WGS84.shp,FALSE,TRUE,2003,2020,GOV,,13,66
CSNIrOT1,NIGFS,1,GB-NIR,CS,45,GOV,DEM,HH-NIGFS.csv,HL-NIGFS.csv,NI_IBTS.WGS84.shp,FALSE,TRUE,2008,2021,ROT,,13,66
CSNIrOT4,NIGFS,4,GB-NIR,CS,40,GOV,DEM,HH-NIGFS.csv,HL-NIGFS.csv,NI_IBTS.WGS84.shp,FALSE,TRUE,2009,2020,ROT,,13,66
CSScoOT1_hist,SCOWCGFS,1,GB-SCT,CS,35,GOV,DEM,HH-SWC-IBTS.csv,HL-SWC-IBTS.csv,SWC_Q1.shp,FALSE,TRUE,1985,2010,GOV,,13,66
CSScoOT1,SCOWCGFS,1,GB-SCT,CS,35,GOV,DEM,HH-SCOWCGFS.csv,HL-SCOWCGFS.csv,SWC_Q1.shp,FALSE,TRUE,2011,2020,GOV,,13,66
CSScoOT4_hist,SCOWCGFS,4,GB-SCT,CS,40,GOV,DEM,HH-SWC-IBTS.csv,HL-SWC-IBTS.csv,SWC_Q4.shp,FALSE,TRUE,1985,2010,GOV,,13,66
CSScoOT4,SCOWCGFS,4,GB-SCT,CS,40,GOV,DEM,HH-SCOWCGFS.csv,HL-SCOWCGFS.csv,SWC_Q4.shp,FALSE,TRUE,2011,2020,GOV,,13,66
CSEngBT1,BTS,1,GB,CS,35,BEAM,DEM,HH-BTS.csv,HL-BTS.csv,WChanBT4.shp,FALSE,TRUE,2016,2019,BT4,"A, AI, P, S",13,66
GNSIntOT1,IBTS,1,Int,GNS,50,GOV,DEM,HH-IBTS.csv,HL-IBTS.csv,GNSstrat_Atlantis.shp,TRUE,TRUE,1983,2021,GOV,,13,66
GNSEngBT3,BTS,3,GB,GNS,45,BEAM,DEM,HH-BTS.csv,HL-BTS.csv,EChanBT3Simple.shp,FALSE,TRUE,1990,2020,BT4,"A, AI, P, S",13,66
GNSGerBT3,BTS,3,DE,GNS,50,BEAM,DEM,HH-BTS.csv,HL-BTS.csv,GNSstrat_Atlantis.shp,TRUE,TRUE,1997,2020,BT7,,13,66
GNSFraOT4,FR-CGFS,4,FR,GNS,50,GOV,DEM,HH-FR-CGFS.csv,HL-FR-CGFS.csv,EVHOE.WGS84.shp,TRUE,FALSE,1998,2020,GOV,,13,66
GNSIntOT3,IBTS,3,Int,GNS,50,GOV,DEM,HH-IBTS.csv,HL-IBTS.csv,GNSstrat_Atlantis.shp,TRUE,TRUE,1998,2020,GOV,,13,66
GNSNetBT3,BTS,3,NL,GNS,45,BEAM,DEM,HH-BTS.csv,HL-BTS.csv,GNSstrat_Atlantis.shp,TRUE,TRUE,1999,2020,BT8,,13,66
GNSBelBT3,BTS,3,BE,GNS,45,BEAM,DEM,HH-BTS.csv,HL-BTS.csv,GNSstrat_Atlantis.shp,TRUE,TRUE,2004,2020,BT4,"A, S",13,66
GNSIntOT1_channel,IBTS,1,Int,GNS,50,GOV,DEM,HH-IBTS.csv,HL-IBTS.csv,EChanBT3Simple.shp,FALSE,TRUE,2007,2021,GOV,,13,66
WASpaOT3,SP-PORC,3,ES,WA,40,GOV,DEM,HH-SP-PORC.csv,HL-SP-PORC.csv,Porcupine.WGS84.shp,FALSE,TRUE,2006,2020,PORB,,13,66
WAScoOT3_hist,SCOROC,3,GB-SCT,WA,35,GOV,DEM,HH-ROCKALL.csv,HL-ROCKALL.csv,SWC_Q3.shp,FALSE,TRUE,1999,2009,GOV,,13,66
WAScoOT3,SCOROC,3,GB-SCT,WA,35,GOV,DEM,HH-SCOROC.csv,HL-SCOROC.csv,SWC_Q3.shp,FALSE,TRUE,2011,2020,GOV,,13,66
